source_id,ra,dec,classification,phot_variable_fundam_freq1,mean,peak_to_peak_g,r21_g,phi21_g,num_harmonics_for_p1
4.6589E+18,80.44174183,-66.98619009,CEP,1.232979511,16.99690401,0.418586074,0.192657626,4.139219692,3
4.6589E+18,80.41150152,-66.9476772,CEP,0.295465727,15.05681551,0.338259822,0.182374976,3.695100218,4
4.65894E+18,79.83826418,-67.11362493,CEP,0.280679637,15.66727398,0.343836549,0.305888775,4.344432011,2
4.65895E+18,79.95078639,-66.82384483,CEP,0.357693135,15.1427523,0.174240295,0.041068472,4.049381047,2
4.65896E+18,79.42673603,-66.64802954,CEP,0.191483454,15.06868655,0.862385107,0.4772817,4.467698411,4
4.65896E+18,79.077416,-66.77772818,CEP,0.714479026,16.15808984,0.361814178,0.2034281,4.138358246,3
4.65897E+18,79.22766293,-66.62748272,CEP,0.457531434,15.70083845,0.289282954,0.115417228,4.384907112,2
4.65897E+18,79.14376796,-66.58656267,CEP,0.408319381,15.26702549,0.336821417,0.05961986,4.418184375,2
4.65897E+18,78.89399514,-66.64674663,CEP,0.344033645,16.0708396,0.759093363,0.431728005,4.282631232,4
4.65946E+18,85.76399935,-67.07646613,CEP,0.279698919,15.50701638,0.752623427,0.475670312,4.267959777,3
4.65946E+18,86.23156309,-67.08005498,CEP,0.754360708,16.15848148,0.319935821,0.240776381,4.345131826,2
4.65946E+18,86.28929148,-67.01580019,CEP,0.184311087,15.22945875,0.413227305,0.336603085,4.668294768,3
4.65946E+18,86.0456401,-66.9992667,CEP,0.436069089,16.08271039,0.682618984,0.436646759,4.205051309,5
4.65946E+18,85.7003223,-66.94274497,CEP,0.289770499,15.02126644,0.297093433,0.121403976,3.290457724,3
4.65946E+18,86.04367264,-66.92323078,CEP,0.515083818,15.73455065,0.296131587,0.129721238,4.825072819,2
4.65947E+18,85.88205257,-66.87965333,CEP,0.552164004,15.8139948,0.294955193,0.091267403,4.734746853,3
4.65948E+18,85.01318868,-67.07166164,CEP,0.493110756,15.56959501,0.363692129,0.14046378,4.321169406,2
4.65949E+18,84.69324413,-67.08527923,CEP,0.133735649,14.88865675,0.179638817,0.143458399,5.659689935,2
4.65949E+18,84.66979674,-67.0349677,CEP,0.341827575,15.6900855,0.764978414,0.427968899,4.241546132,5
4.6595E+18,84.93836886,-67.05643024,CEP,0.2766459,14.97826012,0.307019961,0.128669126,3.309493119,3
4.6595E+18,84.4736182,-66.94684879,CEP,0.260505268,14.79460339,0.276935177,0.149446362,3.528619371,3
4.6595E+18,85.51264132,-67.11860679,CEP,0.273891903,14.81572511,0.294966765,0.100943415,3.185947194,3
4.65951E+18,85.02647088,-66.87301421,CEP,0.390224662,15.18718593,0.373906137,0.11399204,4.395811458,2
4.65951E+18,84.99586736,-66.83701516,CEP,0.496767008,16.26211594,0.687443064,0.498752951,4.073029003,6
4.65951E+18,85.4302311,-66.84996435,CEP,0.201589117,14.928158,0.759775394,0.463972513,4.437200522,5
4.65952E+18,85.04781219,-66.68402815,CEP,0.248824506,15.5556543,0.631045403,0.475691348,4.322696891,4
4.65952E+18,84.53741591,-66.8811017,CEP,0.551767911,16.05611574,0.349548103,0.127280132,4.546257983,2
4.65953E+18,84.3223321,-66.75330611,CEP,0.114638478,14.49592788,0.363525913,0.289196277,5.650770477,3
4.65953E+18,84.58914337,-66.78901955,CEP,0.061714797,16.87542432,0.157211889,0.047457563,5.612205584,2
4.65953E+18,84.52926032,-66.78514096,CEP,0.905976523,16.60007402,0.317841177,0.225639228,3.949393503,3
4.65953E+18,84.90713806,-66.7443211,CEP,0.669181343,15.92435738,0.34241884,0.184080847,3.889392875,2
4.65953E+18,84.68867803,-66.63146353,CEP,0.76917226,16.42023239,0.353487783,0.193811495,4.361282767,3
4.65953E+18,84.60412257,-66.68198506,CEP,0.359003477,16.01521691,0.5264605,0.419976062,4.230619875,5
4.65953E+18,84.51807043,-66.59372381,CEP,0.327474249,15.01113666,0.326578423,0.075128008,3.665822403,3
4.65953E+18,84.36790816,-66.62864154,CEP,0.120112202,14.48425696,0.718834886,0.28451757,5.179945667,4
4.65954E+18,84.42645551,-66.47871482,CEP,0.126534945,15.05041117,0.154104891,0.093914227,6.186525039,2
4.65964E+18,87.41733726,-67.00772346,CEP,0.091062287,14.4118046,0.643144162,0.086319376,4.932278548,5
4.65964E+18,87.27796086,-67.02679744,CEP,0.445570885,15.48032021,0.370574058,0.091591838,4.249139145,2
4.65965E+18,87.85074905,-67.00458754,CEP,0.319348031,15.67375683,0.880315692,0.521735448,4.433077938,5
4.65965E+18,88.02346426,-66.88746423,CEP,0.38866148,15.92942898,0.723271133,0.475654455,4.196525759,4
4.65966E+18,87.53610566,-66.91290959,CEP,1.32410662,17.96544428,0.320750124,0.233086647,4.929391129,3
4.65966E+18,87.60959172,-66.88530669,CEP,0.258952147,15.49039824,0.743305757,0.475030778,4.295074282,5
4.65966E+18,87.50446787,-66.82937559,CEP,0.371088913,15.23021743,0.332527184,0.051723003,4.176690172,3
4.65967E+18,87.36566818,-66.70045291,CEP,0.514865159,15.55806677,0.370249312,0.185788787,4.214229739,3
4.65967E+18,87.62816574,-66.70164608,CEP,0.41243113,15.22711565,0.338058581,0.099953289,4.618081083,2
4.65967E+18,87.38475106,-66.63406858,CEP,0.52152736,16.41555275,0.753508062,0.486920771,4.071165423,7
4.65974E+18,89.05587395,-66.37605018,CEP,0.973114985,16.64669413,0.348628481,0.248700152,3.994932829,4
4.65976E+18,88.09612213,-66.52504079,CEP,0.36819359,15.08449357,0.137606159,0.053287867,4.597058802,2
4.65976E+18,88.12386535,-66.43946227,CEP,0.364849867,15.03196221,0.288931999,0.07560044,4.219861983,2
4.65977E+18,87.40575296,-66.31154827,CEP,0.659055353,15.80528789,0.435424341,0.210100906,4.309531613,5
4.65978E+18,87.55572209,-66.2050045,CEP,0.770136809,16.27940775,0.361760506,0.201693127,4.385175112,3
4.65978E+18,87.52313261,-66.16089452,CEP,0.695407515,18.15845984,0.876811684,0.274370478,4.126197845,5
4.65982E+18,86.91371044,-66.96748381,CEP,0.115805682,14.46416968,0.522437161,0.322385537,5.310198592,5
4.65982E+18,86.53832523,-66.96567061,CEP,0.532075667,15.76978096,0.348276523,0.132441599,4.8303322,2
4.65982E+18,86.5147419,-66.96079201,CEP,0.454384484,15.64133242,0.264630425,0.061326269,4.939109766,2
4.65982E+18,86.52339869,-66.9483566,CEP,0.330714199,15.89146379,0.495358012,0.424672735,4.200111826,4
4.65983E+18,87.05292515,-66.94632656,CEP,1.513640711,17.25006991,0.304645131,0.209569874,3.060857681,4
4.65983E+18,86.5720954,-66.74951768,CEP,0.436124755,16.03741946,0.771254554,0.449914797,4.175220579,4
4.65984E+18,86.29411876,-66.88668623,CEP,0.229093236,15.36403878,0.730193658,0.469246271,4.493395482,5
4.65984E+18,86.14531539,-66.91848782,CEP,0.271758327,15.55427789,0.734593905,0.495337114,4.312113837,5
4.65984E+18,86.10640597,-66.90249736,CEP,0.411284466,15.46440742,0.316854669,0.028840041,4.32351082,2
4.65984E+18,85.87291342,-66.82221244,CEP,0.221608117,15.09220203,0.897890275,0.445275494,4.291606905,8
4.65985E+18,86.28490181,-66.68102549,CEP,0.251980794,15.45371552,0.716791904,0.452332424,4.338777867,6
4.65987E+18,86.52137239,-66.41367766,CEP,1.209265604,17.43494156,0.581090524,0.141165483,4.371928589,6
4.65987E+18,86.36860782,-66.55507132,CEP,0.464886228,15.49551614,0.131731467,0.048777719,4.724993519,2
4.65988E+18,86.23781902,-66.38639181,CEP,0.251068436,15.35111257,0.81764008,0.448167008,4.312899737,7
4.65988E+18,85.82748485,-66.32801974,CEP,0.161503447,14.87058649,0.800574343,0.410856797,4.961724641,3
4.65989E+18,85.94066638,-66.22564623,CEP,0.455729255,15.48717728,0.33159994,0.129604535,4.433266263,2
4.65989E+18,86.12965678,-66.20522945,CEP,0.603364974,16.60444129,0.375414918,0.201105236,4.012073993,2
4.65989E+18,85.70317798,-66.74344806,CEP,0.31480855,14.91223782,0.296275015,0.07268201,3.838129168,3
4.65989E+18,85.39190522,-66.69667075,CEP,0.47743742,15.51030321,0.408424651,0.149735565,4.448165031,2
4.6599E+18,85.4028186,-66.34020247,CEP,0.415570797,16.08128409,0.499404052,0.433761724,4.169349962,5
4.65991E+18,84.98826705,-66.44185985,CEP,0.332222718,15.71747297,0.529274167,0.436644583,4.256937332,5
4.65991E+18,84.8701697,-66.45957486,CEP,0.562057737,15.60413991,0.389472433,0.224865648,4.109491046,3
4.65992E+18,84.70070212,-66.26593653,CEP,1.112422944,16.90852131,0.252081818,0.183689191,3.551816014,4
4.65992E+18,84.65078409,-66.12587944,CEP,0.599437269,15.87616639,0.378128157,0.212210226,4.338448586,5
4.65993E+18,85.52403791,-66.34008669,CEP,0.519618188,15.92445661,0.254420107,0.148097555,4.647733555,2
4.65996E+18,84.62143296,-65.75190482,CEP,0.495756798,15.80636616,0.233535871,0.156968878,4.572776681,2
4.65996E+18,86.97789122,-66.29845843,CEP,0.880230564,16.57545595,0.344687834,0.221221785,4.143012066,3
4.65997E+18,86.62021503,-66.01146717,CEP,0.123629255,14.46691744,0.563767454,0.246192781,5.226407565,5
4.65998E+18,86.25659546,-66.09244581,CEP,0.207521835,15.10620965,0.859950246,0.45802256,4.415758273,5
4.65998E+18,86.34720797,-66.08162546,CEP,0.276047772,15.64309006,0.388859651,0.373759503,4.327302397,4
4.66019E+18,82.34781663,-67.14090903,CEP,0.341748593,15.8690517,0.710517737,0.471071696,4.476971163,3
4.66019E+18,82.06511942,-67.06621657,CEP,0.107567197,14.2051201,0.666856322,0.361170473,5.166080034,4
4.6602E+18,81.9475566,-67.09940889,CEP,0.351070171,14.90950334,0.165409504,0.394157919,4.182364828,4
4.66021E+18,82.15086274,-67.00234776,CEP,1.162197466,16.95165968,0.280657265,0.211147844,3.574330955,3
4.66022E+18,82.67606562,-66.87824089,CEP,0.296535286,15.78798161,0.570439454,0.436145109,4.349146754,4
4.66022E+18,82.60694255,-66.87288056,CEP,0.276505908,15.71651016,0.3890525,0.301362987,4.437667504,3
4.66022E+18,82.24890097,-66.73432354,CEP,0.305826476,15.63922485,0.656501721,0.476844287,4.209047774,6
4.66022E+18,81.82576958,-66.92687404,CEP,0.583456119,15.73733822,0.40345625,0.234068914,4.447581867,3
4.66023E+18,82.01443858,-66.81349478,CEP,0.271594465,15.57431671,0.86559124,0.476134263,4.2420569,5
4.66023E+18,81.8338705,-66.78518488,CEP,0.256882128,15.5792699,0.669860442,0.482686208,4.39880314,5
4.66023E+18,81.9594843,-66.75656505,CEP,0.422100323,16.09873459,0.676573724,0.462676235,4.159491152,5
4.66025E+18,83.97901205,-66.79277837,CEP,0.525956179,16.5187045,0.516632773,0.421544434,4.069865957,5
4.66026E+18,83.44619685,-66.94797037,CEP,0.318501606,15.92017385,0.486937538,0.383414931,4.348700529,3
4.66026E+18,83.53928755,-66.81203077,CEP,0.390225429,15.32689826,0.24537316,0.071414771,4.227222288,2
4.66026E+18,83.23758518,-66.79675494,CEP,0.197306292,15.27313797,0.588610742,0.431485151,4.596760858,4
4.66026E+18,83.23966032,-66.74480981,CEP,0.61287793,15.80061782,0.420232225,0.211526704,4.322779339,3
4.66026E+18,83.04298486,-66.78073656,CEP,0.215859569,15.37931097,0.570089854,0.426017584,4.480492518,4
4.66026E+18,83.1314139,-66.7904967,CEP,0.9744939,16.75071622,0.197903613,0.182119593,3.689099107,3
4.66027E+18,83.17663097,-66.72024687,CEP,0.337275996,15.78085707,0.617438649,0.443487498,4.270066229,5
4.66027E+18,82.92888026,-66.69907641,CEP,0.401378482,16.04465004,0.665962134,0.46760436,4.201198441,5
4.66027E+18,83.34902822,-66.7437945,CEP,0.185970123,15.24716042,0.421711778,0.352578554,4.653184633,3
4.66028E+18,84.12169134,-66.68849438,CEP,0.267098166,15.45753019,0.859428869,0.447430108,4.249544408,6
4.66028E+18,84.12131128,-66.65739714,CEP,0.370537587,15.18372315,0.343324745,0.052607659,4.35614302,4
4.66028E+18,83.65080882,-66.62311047,CEP,3.046932757,18.29025381,0.316471165,0.161690944,2.394020545,4
4.66028E+18,83.72282142,-66.5501386,CEP,0.423817524,15.42206718,0.316278545,0.106454716,4.390332475,2
4.66029E+18,84.05077583,-66.39159048,CEP,0.437236458,15.40854222,0.260893106,0.083127414,4.479221464,2
4.66029E+18,83.89195734,-66.4426879,CEP,0.723003203,16.284008,0.264394945,0.162905346,4.299680121,2
4.66029E+18,83.84452671,-66.39614743,CEP,0.343181015,15.01614269,0.301229171,0.064896246,3.577405489,4
4.6603E+18,83.20497724,-66.4851136,CEP,0.331468625,15.80145207,0.851440181,0.496794305,4.3150144,6
4.66031E+18,83.18838259,-66.29773707,CEP,0.287342276,15.00971973,0.291985904,0.1644792,3.200271437,3
4.66031E+18,83.19691056,-66.26223515,CEP,0.082826596,14.08074954,0.453073092,0.073129914,1.054012526,7
4.66031E+18,83.36281521,-66.16384115,CEP,0.494667821,15.71401783,0.350505364,0.15383886,4.394233985,2
4.66031E+18,83.2351315,-66.13625745,CEP,0.219093504,15.15754275,0.922269353,0.45472593,4.336666261,6
